название;автор;жанр;эпоха;направление;сложность;объём;настроение;темы;тип_конфликта;тип_героя;художественные_средства;страницы;год;авторская_позиция;аудитория;темы_экспертов;слабые_стороны;интерпретации;изображение
Идиот;Достоевский;роман;конец_XIX;реализм;высокая;длинное;философское;вера, общество, любовь;идеал_vs_реальность;идеалист;психологизм, символизм, аллюзии, диалоги;600;1869;Утверждение ценности человечности и сострадания, стремление к нравственному идеалу;Читатели с интересом к философским и социальным вопросам, готовые к глубокому психологическому анализу;Внутренняя борьба героя, столкновение идеалов и реальности, евангельские параллели;Сложность реализации идеала в жестоком мире, споры о нравственной оценке поступков героя;Интерпретация через призму евангельских аллюзий, анализ столкновения идеализма и реальности, образ 'положительно прекрасного человека';19.jpg
Казаки;Толстой;повесть;середина_XIX;реализм;средняя;среднее;лирическое;природа, любовь, свобода;личность_vs_общество;искатель;реализм, пейзажи, лиризм, диалоги, психологизм;270;1863;Склонность к естественной жизни, критика искусственности цивилизации;Читатели с интересом к природе, народной жизни и философии естественного человека;Противостояние цивилизации и традиции, цельность казачьего быта;Идеализация 'естественной жизни', незавершённость любовной линии;Повесть как манифест толстовского руссоизма, поиск идеала вне цивилизации;18.jpg
Капитанская дочка;Пушкин;повесть;начало_XIX;реализм;низкая;короткое;романтическое;честь, любовь, война;долг_vs_чувство;идеалист;реализм, пейзажи, диалоги, фольклор;150;1836;Объективность, стремление к исторической правде, внимание к нравственным переживаниям героя;Широкая читательская аудитория с интересом к истории и приключениям;Хронология событий, образ главного героя, тема чести и милосердия;Некоторые исторические упрощения, идеализация образа Маши Мироновой;Анализ через призму темы милосердия, Герой как сложный трагический образ;17.jpg
Мастер и Маргарита;Булгаков;роман;советский_период;модернизм;средняя;среднее;философское;любовь, искусство, вера, власть;свобода_vs_система;искатель;фантастика, гротеск, ирония, символизм, аллюзии;480;1967;Сатирическое отношение к советской действительности, утверждение силы любви и творчества;Широкая аудитория с интересом к философским проблемам, мистике и социальной сатире;Многоплановость образов, композиция 'романа в романе', библейские параллели;Споры о трактовке образа Воланда, множественность интерпретаций финала;Роман как 'тайнодействие', анализ через призму гностических идей, тема творца и его ответственности;16.jpg
Миргород;Гоголь;рассказы;начало_XIX;сатира;низкая;короткое;сатирическое;общество, любовь, война;старое_vs_новое;обыватель;сатира, ирония, фантастика, реализм, гротеск;200;1835;Сатирическое отношение к провинциальному быту, стремление показать духовную пустоту;Широкая аудитория с интересом к юмору и социальной критике;Контраст фантастического и бытового, критика замкнутого мирка обывателей;Неоднородность сборника по стилю, споры о фантастических элементах;Сборник как историософская модель, анализ через призму украинской культуры;15.jpg
Мёртвые души;Гоголь;поэма;середина_XIX;сатира;средняя;среднее;сатирическое;общество, власть, вера;личность_vs_общество;антигерой;сатира, ирония, гротеск, лиризм, метафоры;350;1842;Критическое отношение к обществу, стремление к духовному возрождению России;Читатели с интересом к социальной критике и сатире;Галерея помещиков как типы 'омертвения', лирические отступления, образ дороги;Незавершённость замысла, споры о композиции и жанре;Поэма как 'сатирический ад' по аналогии с Данте, путь от мёртвых душ к живым;14.jpg
Мцыри;Лермонтов;поэма;начало_XIX;романтизм;средняя;короткое;романтическое;свобода, природа, смерть;свобода_vs_система;бунтарь;лиризм, метафоры, пейзажи, монологи, символизм;50;1839;Сочувствие к стремлению героя к свободе, романтическое восхищение силой духа;Читатели с интересом к романтической поэзии и теме свободы личности;Исповедальный характер, символика природы, песня рыбки как ключевой эпизод;Сложность однозначной трактовки финала, споры о влиянии европейского романтизма;Герой как символ несгибаемой воли, анализ через призму романтического двоемирия;13.jpg
Отцы и дети;Тургенев;роман;середина_XIX;реализм;средняя;среднее;драматическое;нигилизм, любовь, семья;старое_vs_новое;бунтарь;психологизм, реализм, диалоги, пейзажи;250;1862;Объективность в изображении конфликта поколений, сочувствие обеим сторонам;Читатели с интересом к социальным и философским вопросам, конфликту поколений;Образ героя как 'нового человека', трагедия нигилизма, любовная линия;Споры о позиции автора по отношению к Базарову, некоторая схематичность 'отцов';Роман как диагноз эпохи, Базаров — 'лицо трагическое', обречённое на одиночество;3.jpg
Преступление и наказание;Достоевский;роман;конец_XIX;реализм;высокая;среднее;трагическое;вера, общество, смерть;добро_vs_зло;антигерой;психологизм, символизм, монологи, диалоги, аллюзии;500;1866;Осуждение теории 'сверхчеловека', утверждение ценности каждой человеческой жизни;Читатели с интересом к психологии преступления, философским и религиозным вопросам;Теория сверчеловека, образ  духовного спасения, символика чисел;Сложность восприятия философских диалогов, неоднозначность финала для современников;Роман как путь от 'наполеоновской идеи' к христианскому смирению, детективный и философский слои;8.jpg
Смерть Ивана Ильича;Толстой;повесть;конец_XIX;реализм;средняя;короткое;философское;смерть, общество, вера;идеал_vs_реальность;обыватель;психологизм, реализм, монологи, символизм;100;1886;Критика буржуазного быта, стремление к подлинной человечности перед лицом смерти;Читатели с интересом к философским вопросам о смысле жизни и смерти;Внутреннее преображение героя, философский смысл умирания, образ Герасима;Тяжёлая тема для неподготовленного читателя, дидактичность финала;Повесть как экзистенциальное исследование, открытие подлинного 'я' через страдание;9.jpg
Собачье сердце;Булгаков;повесть;советский_период;сатира;низкая;короткое;сатирическое;общество, революция, власть;старое_vs_новое;обыватель;фантастика, гротеск, ирония, сатира, диалоги;100;1925;Критика революционных преобразований, идея ответственности за вмешательство в природу;Широкая аудитория с интересом к сатире и социальным проблемам;Эксперимент как метафора революции, образ Шарикова как 'нового человека';Упрощённая трактовка как антисоветской сатиры, споры о гуманизме профессора;Повесть как антиутопия, анализ через призму этики науки и социальной инженерии;10.jpg
Тарас Бульба;Гоголь;повесть;начало_XIX;романтизм;средняя;короткое;драматическое;война, честь, семья, свобода;долг_vs_чувство;бунтарь;метафоры, пейзажи, фольклор, лиризм, гротеск;150;1835;Сочувствие к народу, воспевание казачьей вольницы и героизма;Читатели с интересом к истории, патриотизму и эпическим сюжетам;Национальная идентичность героев, трагедия отца и сына, эпический масштаб;Идеализация казачества, споры о политической трактовке образов;Повесть как отражение национального самосознания, связь с украинскими думами;11.jpg
Хаджи-Мурат;Толстой;повесть;начало_XX;реализм;средняя;короткое;трагическое;война, свобода, честь;свобода_vs_система;бунтарь;реализм, символизм, пейзажи, диалоги;200;1904;Симпатия к свободолюбивым личностям, критика деспотизма и бессмысленности войн;Читатели с интересом к историческим и философским проблемам войны и мира;Образ репейника как символ несгибаемой воли, параллели двух деспотизмов;Сложность понимания мотивации героя без исторического контекста;Повесть как притча о силе жизни против государственной машины, антивоенный манифест;12.jpg
